x0	x1	top	bottom	text
2872.54	2877.24	1653.7	1663.33	C
2889.5	2890.19	1639.48	1649.73	L
2884.17	2884.3	1642.59	1653.61	R
2877.63	2880.24	1647.71	1658.19	A
2896.73	2902.44	1636.9	1646.56	H
2903.51	2905.23	1636.57	1645.75	.
2909.08	2915.03	1637.73	1645.63	I
2913.34	2922.61	1640.54	1646.48	R
2919.38	2932.03	1646.96	1648.83	W
2926.81	2936.34	1651.48	1654.18	I
2929.69	2940.88	1657.43	1658.71	N
2895.76	2902.79	1708.84	1716.74	1
2907.53	2911.66	1708.38	1717.81	/
2912.33	2915.72	1707.22	1717.23	3
2919.25	2920.87	1704.91	1715.36	0
2924.37	2924.52	1702.84	1713.13	/
2927.86	2929.11	1699.76	1710.25	1
2884.14	2894.19	1706.98	1712.05	N
2891.59	2897.34	1707.96	1715.5	:
2877.94	2887.71	1703.8	1707.53	E
2871.94	2882.91	1700.08	1701.08	R
2874.64	2877.65	1672.16	1682.44	 
2877.65	2885.58	1672.16	1682.44	N
2885.61	2891.96	1672.16	1682.44	o
2891.99	2895.21	1672.16	1682.44	.
2895.21	2898.22	1672.16	1682.44	 
2898.23	2905.09	1672.16	1682.44	C
2905.09	2909.52	1672.16	1682.44	-
2909.55	2916.1	1672.16	1682.44	4
2916.13	2922.68	1672.16	1682.44	5
2922.71	2929.26	1672.16	1682.44	2
2929.29	2935.85	1672.16	1682.44	5
2931.84	2934.82	1695.24	1705.38	9
2902.33	2908.03	1708.82	1717.72	1
2862.04	2870.95	407.46	419.8	w
2870.68	2879.59	407.46	419.8	w
2879.32	2888.23	407.46	419.8	w
2887.96	2891.39	407.46	419.8	.
2891.42	2894.16	407.46	419.8	i
2894.13	2900.99	407.46	419.8	p
2900.97	2907.83	407.46	419.8	a
2907.81	2914.67	407.46	419.8	o
2914.65	2920.82	407.46	419.8	c
2920.79	2924.22	407.46	419.8	.
2924.25	2930.42	407.46	419.8	c
2930.4	2937.27	407.46	419.8	o
2937.25	2947.55	407.46	419.8	m
2850.48	2857.34	255.27	267.61	2
2857.31	2864.17	255.27	267.61	4
2864.14	2871.0	255.27	267.61	5
2870.97	2874.4	255.27	267.61	 
2874.42	2881.96	255.27	267.61	F
2881.92	2884.66	255.27	267.61	i
2884.63	2890.8	255.27	267.61	s
2890.76	2896.94	255.27	267.61	c
2896.9	2903.76	255.27	267.61	h
2903.73	2910.59	255.27	267.61	e
2910.56	2914.67	255.27	267.61	r
2914.63	2918.06	255.27	267.61	 
2917.62	2925.85	255.27	267.61	A
2925.81	2932.0	255.27	267.61	v
2931.96	2938.83	255.27	267.61	e
2938.79	2945.65	255.27	267.61	n
2945.62	2952.48	255.27	267.61	u
2952.45	2959.31	255.27	267.61	e
2879.44	2887.67	280.64	292.98	S
2887.66	2894.52	280.64	292.98	u
