kind	x0	x1	top	bottom	width	height
line	136.8	136.8	40.5	2119.5	0.0	2079.0
line	1249.9	1249.9	40.5	2119.5	0.0	2079.0
line	2363.0	2363.0	40.5	2119.5	0.0	2079.0
line	136.8	2363.0	2119.5	2119.5	2226.2	0.0
line	136.8	2363.0	1703.7	1703.7	2226.2	0.0
line	136.8	2363.0	1287.9	1287.9	2226.2	0.0
line	136.8	2363.0	872.1	872.1	2226.2	0.0
line	136.8	2363.0	456.3	456.3	2226.2	0.0
line	136.8	2363.0	40.5	40.5	2226.2	0.0
line	2821.5	2988.0	270.7	270.7	166.5	0.0
line	2821.5	2988.0	276.7	276.7	166.5	0.0
line	2821.5	2988.0	296.1	296.1	166.5	0.0
line	2821.5	2988.0	302.1	302.1	166.5	0.0
line	2821.5	2988.0	321.4	321.4	166.5	0.0
line	2821.5	2988.0	327.4	327.4	166.5	0.0
line	2821.5	2988.0	346.8	346.8	166.5	0.0
line	2821.5	2988.0	352.8	352.8	166.5	0.0
line	2821.5	2988.0	372.2	372.2	166.5	0.0
line	2821.5	2988.0	378.2	378.2	166.5	0.0
line	2821.5	2988.0	397.5	397.5	166.5	0.0
line	2821.5	2988.0	403.5	403.5	166.5	0.0
line	2821.5	2988.0	422.9	422.9	166.5	0.0
line	2821.5	2988.0	428.9	428.9	166.5	0.0
line	2821.5	2988.0	245.3	245.3	166.5	0.0
line	2821.5	2988.0	251.3	251.3	166.5	0.0
line	2363.0	2804.0	97.2	97.2	441.0	0.0
line	2829.5	2981.0	2047.5	2047.5	151.5	0.0
line	2829.5	2981.0	1799.6	1799.6	151.5	0.0
line	2829.5	2981.0	1814.2	1814.2	151.5	0.0
line	2829.5	2981.0	1828.9	1828.9	151.5	0.0
line	2829.5	2981.0	1843.5	1843.5	151.5	0.0
line	2829.5	2981.0	1872.8	1872.8	151.5	0.0
line	2829.5	2981.0	1887.4	1887.4	151.5	0.0
line	2829.5	2981.0	1902.0	1902.0	151.5	0.0
line	2829.5	2981.0	1916.6	1916.6	151.5	0.0
line	2829.5	2981.0	1931.3	1931.3	151.5	0.0
line	2829.5	2981.0	1945.9	1945.9	151.5	0.0
line	2849.0	2849.0	1858.1	1945.9	0.0	87.7
line	2924.9	2924.9	1858.1	1945.9	0.0	87.7
line	2829.5	2981.0	1858.1	1858.1	151.5	0.0
line	2372.0	2777.0	133.2	133.2	405.0	0.0
line	2372.0	2777.0	133.2	133.2	405.0	0.0
line	2137.7	2138.2	1929.9	1929.9	0.5	0.0
line	2136.8	2137.7	1929.9	1929.9	0.9	0.0
line	2136.8	2137.7	1930.5	1930.5	0.9	0.0
line	2137.7	2138.2	1930.5	1930.5	0.5	0.0
line	2138.2	2138.2	1929.9	1930.5	0.0	0.6
line	2135.7	2136.8	1972.0	1972.0	1.1	0.0
