page	chars	targets
1	19099	T1_UNIT_MIX,A11.1,A11.2,A11.3,A11.4,A11.5,A11.6,A11.7,A11.8,A12.1,A12.2,A12.3
2	21796	
3	29406	
4	33695	
5	43003	
6	47023	
7	16309	
8	3116	
9	6458	
10	3149	
11	9077	
12	6606	
13	6278	
14	70522	
15	60858	
16	5768	
17	5299	
18	36473	
19	2639	
20	1881	
21	1829	
22	7925	A11.4,A11.7,A11.8
23	6377	A11.4,A11.7,A11.8
24	5975	A11.1
25	5251	A11.1
26	6453	A11.1,A11.2,A11.3,A11.5,A11.6
27	6095	A11.2,A11.3,A11.4,A11.5
28	5090	A11.1,A11.3
29	4918	A11.1
30	6074	A11.1,A11.2,A11.3,A11.4,A11.5
31	5837	A11.2,A11.4,A11.5
32	4996	A11.1,A11.2,A11.3
33	4936	A11.1,A11.2
34	7680	A11.1,A11.2,A11.7,A11.8,A12.3
35	7288	A11.1,A11.2,A11.3,A11.4,A11.5,A11.6,A12.3
36	6438	A11.1,A11.2,A11.3,A11.4,A11.5,A12.3
37	5197	A11.2,A11.7,A11.8
38	4443	A11.4,A11.7,A11.8
39	4703	
40	3936	A11.1
41	5026	A11.1,A11.2,A11.3,A11.4,A11.5,A11.6
42	4388	A11.2,A11.3,A11.4,A11.5
43	4361	A11.1,A11.3
44	3839	A11.1
45	4564	A11.1,A11.2,A11.3,A11.4,A11.5
46	4252	A11.2,A11.4,A11.5
47	3953	A11.1,A11.2,A11.3
48	3762	A11.1,A11.2
49	3829	
50	3849	
51	2510	
52	892	
53	748	
54	3359	
55	3280	
56	3897	
57	3950	
58	2795	
59	1837	
60	8937	
61	3139	
62	9810	
63	6127	
64	56254	
65	3771	
66	13437	
67	5360	
68	5304	
69	4520	
70	7475	A11.1
71	7465	A11.2
72	7278	A11.3
73	7340	A11.4
74	7357	A11.5,A12.1
75	7066	
76	7273	A11.7
77	7433	A11.8
78	3211	A12.1
79	2761	A12.2
80	2647	A12.3
81	2492	
82	8966	
83	4703	
84	12355	
85	13027	
86	22484	
87	3073	
88	1958	
89	6288	
90	5172	
91	807	
92	6488	
93	6201	
94	6243	
95	865	
96	4057	
97	664	
98	1258	
99	5015	
100	1252	
101	1096	
102	2375	
103	1131	
104	5867	
105	5812	
106	6072	
107	3735	
108	5262	
109	4173	
110	14133	
111	6349	
112	6344	
113	2062	
114	704	
115	882	
116	700	
117	924	
118	777	
119	551	
120	437	
121	437	
122	437	
123	1400	
124	1214	
125	1093	
126	1121	
127	1335	
128	1211	
129	907	
130	1020	
131	1232	
132	1197	
133	914	
134	830	
135	506	
136	494	
137	505	
138	494	
139	1582	
140	838	
141	913	
142	757	
143	715	
144	844	
145	1021	
146	815	
147	717	
148	774	
149	723	
150	584	
151	660	
152	651	
153	644	
154	546	
155	521	
156	419	
157	419	
158	419	
159	419	
160	1863	
161	2131	
162	361	
163	407	
164	564	
165	345	
166	345	
167	40964	
168	38894	
169	352	
170	352	
171	656	
172	1597	A11.7,A11.8
173	1343	A11.1,A11.4,A11.7,A11.8
174	1013	A11.1
175	960	A11.1,A11.4
176	2195	A11.1,A11.2,A11.3,A11.5,A11.6
177	1791	A11.1,A11.2,A11.3,A11.4,A11.5
178	1183	A11.1,A11.3
179	927	A11.1
180	2045	A11.1,A11.2,A11.3,A11.4,A11.5
181	1692	A11.1,A11.2,A11.5
182	1108	A11.1,A11.3
183	1064	A11.1,A11.3
184	2929	A11.2,A11.7,A11.8
185	3070	A11.1,A11.4,A11.7,A11.8
186	2176	A11.1,A11.4
187	1692	A11.1,A11.4
188	2586	A11.1,A11.2,A11.3,A11.4,A11.5,A11.6
189	2042	A11.1,A11.2,A11.5
190	1548	A11.1,A11.3
191	1173	A11.1,A11.3
192	2257	A11.1,A11.2,A11.3,A11.5
193	1814	A11.1,A11.2,A11.5
194	1189	A11.1,A11.3
195	1060	A11.1,A11.3
196	1203	
197	1825	
198	4065	
199	1596	
200	483	
201	485	
202	0	
203	533	
204	554	
205	554	
206	554	
207	554	
208	557	
209	557	
210	557	
211	557	
212	554	
213	554	
214	554	
215	554	
216	533	
217	533	
218	533	
219	533	
220	526	
221	822	
222	671	
223	787	
224	762	
225	762	
226	716	
227	767	
228	557	
229	557	
230	532	
231	532	
232	564	
233	564	
234	564	
235	564	
236	564	
237	564	
238	564	
239	564	
240	564	
241	565	
242	530	
243	51754	
244	27989	
245	7556	
246	6622	
247	7373	
248	6227	
249	9897	
250	9384	
251	10205	
252	9127	
253	4529	
254	4262	
255	4016	
256	3840	
257	9551	
258	9328	
259	0	
260	0	
261	4484	
262	4217	
263	3951	
264	3837	
265	9190	
266	9068	
267	8983	
268	8841	
269	2638	
270	2458	
271	2428	
272	2934	
273	2426	
274	2466	
275	12330	
276	8391	
277	15304	
278	8629	
279	4784	
280	3586	
281	4008	
282	3271	
283	2121	
284	3614	
285	2674	
286	1288	
287	6744	
288	1989	
289	6642	
290	0	
291	0	
292	0	
293	0	
